date,instance_request,cpu_request,mem_request,MISC_request,P100_request,T4_request,V100M32_request,V100_request
2020-07-07 05:25:00,6688.2666666666655,401853718091.6666,15271121631.674543,17771603409.783333,7024905700.0,1451425680.0,7446282050.0,4797792200.0
2020-07-07 05:30:00,6430.319999999998,398887911564.3333,15197936355.990818,17634577244.466667,7024905700.0,1451394953.0,7394961879.166667,4797792200.0
2020-07-07 05:35:00,6387.853333333332,398390190574.0,15162055110.258644,17601034317.133335,7023656388.666667,1451368163.3333333,7407644308.0,4797792200.0
2020-07-07 05:40:00,6440.456666666668,398424979662.0,15158221873.521614,17599188672.583332,7022764700.0,1451407123.3333333,7434827000.0,4797792200.0
2020-07-07 05:45:00,6423.24,398328994546.3333,15151993305.441929,17591857149.88333,7022629987.666667,1451394128.3333333,7434827000.0,4776729357.333333
2020-07-07 05:50:00,6432.869999999999,399450579137.6666,15196629365.943811,17556319921.066666,7281986771.666668,1451369863.6666665,7434827000.0,4772209800.0
2020-07-07 05:55:00,6370.8533333333335,401376748785.0,15295459675.893944,17529381981.966667,7663270282.0,1451358040.3333333,7434827000.0,4772209800.0
2020-07-07 06:00:00,6402.08,401271205856.0,15289828921.36806,17527697669.0,7663569000.0,1442639733.05,7434827000.0,4772209800.0
2020-07-07 06:05:00,6354.849999999999,401213988652.6667,15275891684.147549,17509198259.98333,7663569000.0,1439323599.3333333,7434827000.0,4772209800.0
2020-07-07 06:10:00,6376.066666666667,400386590547.3334,15231270677.950872,17432765816.916668,7663569000.0,1463331736.3333333,7434827000.0,4772209800.0
2020-07-07 06:15:00,6314.546666666667,399768057576.6667,15197869829.151249,17408732908.483334,7670749213.333334,1467439066.0,7328583202.666667,4772209800.0
2020-07-07 06:20:00,6386.53,399728432953.3334,15173067740.106522,17390941545.833332,7702733800.0,1482954222.3333333,7309342200.0,4772209800.0
2020-07-07 06:25:00,6517.493333333332,399712633439.3333,15155546865.10823,17396274204.899998,7702733800.0,1476461658.3333333,7261103480.0,4772209800.0
2020-07-07 06:30:00,6412.89,398048106269.3333,15050628077.513124,17376319107.61667,7566270806.666666,1484527434.3333333,7214134200.0,4772209800.0
2020-07-07 06:35:00,6371.69,395312085831.3333,14913309606.829922,17355859149.01667,7364395800.0,1487086741.6666665,7214134200.0,4772209800.0
2020-07-07 06:40:00,6432.6833333333325,395456566885.3333,14919378353.083256,17379999430.23333,7364401696.333334,1484563733.0833335,7214134200.0,4772209800.0
2020-07-07 06:45:00,6456.726666666667,395064430882.00006,14907725634.100103,17367076883.88333,7365715335.0,1472790990.9999998,7214134200.0,4772209800.0
2020-07-07 06:50:00,6422.660000000001,394730733845.3334,14899622255.972788,17363524530.25,7366134261.333333,1466981527.3333333,7214134200.0,4772209800.0
2020-07-07 06:55:00,6191.133333333333,394255313563.3333,14879843537.672306,17332749762.416668,7365768600.0,1466958905.6666665,7202984498.666666,4752635560.0
